0,1,1853,53807
0,1,1853,53807
0,1,1853,53807
2,3,61228,443
4,5,1853,49514
1,0,53807,1853
2,3,61228,443
2,3,60073,443
6,7,1853,58246
8,9,443,63406
10,11,5440,57700
7,12,63861,1853
10,11,5440,57700
13,12,63862,8200
14,15,55702,8200
16,17,49321,8200
15,11,5500,49292
15,11,5500,49292
18,0,60589,443
17,19,443,55270
10,11,5440,57700
10,11,5440,57700
10,11,5440,57700
10,11,5440,57700
10,11,5440,57700
17,20,443,55272
17,21,443,55273
10,11,5440,57700
22,11,5440,52976
22,11,5440,52976
18,0,60589,443
23,17,49319,1853
0,18,443,60589
3,24,443,61238
3,24,443,61240
22,11,5440,52976
22,11,5440,52976
25,26,,
27,28,1853,56566
3,24,443,61236
3,24,443,61239
3,24,443,61237
29,30,49451,443
30,29,443,49451
31,32,51444,1853
33,34,56707,1853
29,30,49451,443
30,29,443,49451
24,3,61247,443
24,3,61247,443
24,3,61247,443
35,36,55363,1853
24,3,61247,443
24,3,61247,443
24,3,61247,443
24,3,61247,443
37,38,51696,443
1,0,53807,1853
3,24,443,61247
39,38,51700,443
40,15,60838,1853
0,1,1853,53807
0,1,1853,53807
0,1,1853,53807
0,1,1853,53807
17,23,1853,49319
22,11,5440,52976
32,31,1853,51444
22,11,5440,52976
41,31,1853,56495
6,42,443,54982
6,43,443,54984
6,44,443,54985
26,25,,
0,18,443,60589
22,11,5440,52976
22,11,5440,52976
22,11,5440,52976
22,11,5440,52976
45,46,54654,1853
47,48,1853,55445
49,50,18131,58865
49,51,38677,62209
36,35,1853,55363
25,26,,
52,11,5462,55582
52,11,5462,55582
52,11,5500,56684
52,11,5462,55582
52,11,5500,56684
52,11,5462,55582
38,53,1853,51035
1,0,53807,1853
0,18,443,60589
0,18,443,60589
0,18,443,60589
0,1,1853,53807
12,7,1853,63861
3,2,443,61249
0,1,1853,53807
25,26,,
54,55,64264,1853
28,27,56566,1853
56,31,1853,50477
57,58,443,58186
27,59,443,51685
27,60,443,51686
27,61,443,51683
5,4,49514,1853
1,0,53807,1853
27,62,443,51687
63,5,1853,62603
63,64,443,65067
65,11,5440,62286
65,11,5440,62286
31,41,56495,1853
65,11,5440,62286
65,11,5440,62286
8,66,443,63407
8,67,443,63408
68,32,51445,8200
69,6,58247,8200
70,71,443,60548
12,20,443,62038
65,11,5440,62286
65,11,5440,62286
36,72,443,49741
25,26,,
0,1,1853,53807
0,1,1853,53807
0,1,1853,53807
0,1,1853,53807
34,33,1853,56707
65,11,5440,62286
65,11,5440,62286
