172.16.133.57,68.64.21.62,,1853,,53807
172.16.133.57,68.64.21.62,,1853,,53807
172.16.133.57,68.64.21.62,,1853,,53807
96.43.146.176,172.16.133.82,61228,,443,
172.16.133.56,68.64.21.42,,1853,,49514
68.64.21.62,172.16.133.57,,53807,,1853
96.43.146.176,172.16.133.82,61228,,443,
96.43.146.176,172.16.133.82,60073,,443,
172.16.133.49,68.64.21.41,,1853,,58246
172.16.133.103,216.115.222.200,443,,63406,
172.16.133.43,172.16.139.250,5440,,57700,
68.64.21.41,172.16.133.60,,63861,,1853
172.16.133.43,172.16.139.250,5440,,57700,
67.217.94.135,172.16.133.60,,63862,,8200
67.217.94.156,172.16.133.53,,55702,,8200
67.217.94.204,172.16.133.114,,49321,,8200
172.16.133.53,172.16.139.250,5500,,49292,
172.16.133.53,172.16.139.250,5500,,49292,
157.56.242.198,172.16.133.57,60589,,443,
172.16.133.114,67.217.65.49,443,,55270,
172.16.133.43,172.16.139.250,5440,,57700,
172.16.133.43,172.16.139.250,5440,,57700,
172.16.133.43,172.16.139.250,5440,,57700,
172.16.133.43,172.16.139.250,5440,,57700,
172.16.133.43,172.16.139.250,5440,,57700,
172.16.133.114,67.217.64.49,443,,55272,
172.16.133.114,67.217.66.49,443,,55273,
172.16.133.43,172.16.139.250,5440,,57700,
172.16.133.13,172.16.139.250,5440,,52976,
172.16.133.13,172.16.139.250,5440,,52976,
157.56.242.198,172.16.133.57,60589,,443,
68.64.21.44,172.16.133.114,,49319,,1853
172.16.133.57,157.56.242.198,443,,60589,
172.16.133.82,96.43.146.50,443,,61238,
172.16.133.82,96.43.146.50,443,,61240,
172.16.133.13,172.16.139.250,5440,,52976,
172.16.133.13,172.16.139.250,5440,,52976,
172.16.133.233,172.16.128.254,,,,
172.16.133.99,67.217.78.32,,1853,,56566
172.16.133.82,96.43.146.50,443,,61236,
172.16.133.82,96.43.146.50,443,,61239,
172.16.133.82,96.43.146.50,443,,61237,
96.43.146.22,172.16.133.109,49451,,443,
172.16.133.109,96.43.146.22,443,,49451,
68.64.21.45,172.16.133.47,,51444,,1853
68.64.21.46,172.16.133.67,,56707,,1853
96.43.146.22,172.16.133.109,49451,,443,
172.16.133.109,96.43.146.22,443,,49451,
96.43.146.50,172.16.133.82,61247,,443,
96.43.146.50,172.16.133.82,61247,,443,
96.43.146.50,172.16.133.82,61247,,443,
68.64.21.36,172.16.133.37,,55363,,1853
96.43.146.50,172.16.133.82,61247,,443,
96.43.146.50,172.16.133.82,61247,,443,
96.43.146.50,172.16.133.82,61247,,443,
96.43.146.50,172.16.133.82,61247,,443,
64.74.80.244,172.16.133.85,51696,,443,
68.64.21.62,172.16.133.57,,53807,,1853
172.16.133.82,96.43.146.50,443,,61247,
216.219.115.183,172.16.133.85,51700,,443,
68.64.21.40,172.16.133.53,,60838,,1853
172.16.133.57,68.64.21.62,,1853,,53807
